myFunc generated func Eliott activation: x/(1+fabsf(x))
nExamples 1000
input 1.49683 3.35362 PredOutput 0.129616 0.0913194 
input 1.31314 2.26428 PredOutput 0.115739 0.0764285 
input -0.72502 -0.38111 PredOutput 0.010339 -0.0358673 
input 0.237468 0.0133911 PredOutput 0.0479389 0.00424701 
input -0.594948 -0.21059 PredOutput 0.0169066 -0.0288389 
input 1.83126 6.14114 PredOutput 0.15246 0.115918 
input -1.57695 -3.9215 PredOutput -0.0430995 -0.0933814 
input -1.1313 -1.44788 PredOutput -0.0141672 -0.062171 
input -1.51061 -3.44714 PredOutput -0.038943 -0.0888874 
input -1.72124 -5.09947 PredOutput -0.0517643 -0.10276 
input 0.0569026 0.000184246 PredOutput 0.0413329 -0.00277888 
input -0.897461 -0.722847 PredOutput 0.000556626 -0.0463524 
input -0.0282348 -2.2509e-05 PredOutput 0.0384445 -0.00585386 
input 1.19397 1.7021 PredOutput 0.106527 0.0665646 
input -0.438994 -0.0846011 PredOutput 0.023816 -0.0214546 
input -0.649183 -0.273591 PredOutput 0.0142579 -0.0316723 
input -1.89308 -6.78429 PredOutput -0.0612767 -0.113074 
input -1.82135 -6.04204 PredOutput -0.0574212 -0.108891 
input 1.71702 5.06208 PredOutput 0.1451 0.107981 
input -2.1119 -9.41931 PredOutput -0.0719711 -0.124689 
input -1.15157 -1.52711 PredOutput -0.015492 -0.0635964 
input 1.54405 3.68113 PredOutput 0.133063 0.0950245 
input -0.549089 -0.16555 PredOutput 0.0190455 -0.0265519 
input 0.737985 0.401922 PredOutput 0.0733918 0.0312443 
input -0.274395 -0.0206598 PredOutput 0.0301078 -0.014739 
input 0.97219 0.918869 PredOutput 0.0896529 0.0485447 
input 0.615907 0.233639 PredOutput 0.0659377 0.0233423 
input -1.46971 -3.17467 PredOutput -0.036336 -0.0860704 
input 1.44848 3.03908 PredOutput 0.126028 0.0874654 
input 1.73084 5.18525 PredOutput 0.146017 0.108969 
input 2.00846 8.10195 PredOutput 0.162853 0.127143 
input 1.57818 3.93067 PredOutput 0.135515 0.0976614 
input -0.446879 -0.0892419 PredOutput 0.0234907 -0.021802 
input 1.80828 5.91282 PredOutput 0.15102 0.114364 
input 1.98111 7.77546 PredOutput 0.161332 0.125498 
input 1.67667 4.71352 PredOutput 0.142384 0.105054 
input 0.526225 0.145718 PredOutput 0.0609961 0.0181075 
input -0.847185 -0.608045 PredOutput 0.00352417 -0.0431695 
input -1.37485 -2.59878 PredOutput -0.0301874 -0.079432 
input -0.367394 -0.0495904 PredOutput 0.0266631 -0.0184147 
input -1.74605 -5.32314 PredOutput -0.0531948 -0.10431 
input 1.14609 1.50542 PredOutput 0.102826 0.0626075 
input 0.811558 0.534514 PredOutput 0.0782486 0.0364034 
input -0.57788 -0.192981 PredOutput 0.0177134 -0.0279762 
input 0.371749 0.0513749 PredOutput 0.0535339 0.0101903 
input 1.02145 1.06575 PredOutput 0.0933212 0.0524568 
input -1.47795 -3.22835 PredOutput -0.0368635 -0.0866403 
input 1.98046 7.76778 PredOutput 0.161296 0.125459 
input -1.42467 -2.89165 PredOutput -0.033432 -0.0829341 
input 1.02368 1.07273 PredOutput 0.0934884 0.0526352 
input 0.613617 0.231042 PredOutput 0.0658056 0.0232025 
input -1.60643 -4.14558 PredOutput -0.0449144 -0.0953446 
input -1.89241 -6.77715 PredOutput -0.0612417 -0.113036 
input 1.40658 2.78287 PredOutput 0.122876 0.0840817 
input -1.97147 -7.66249 PredOutput -0.0652947 -0.117435 
input -1.30095 -2.20184 PredOutput -0.0253318 -0.0741949 
input 2.19032 10.508 PredOutput 0.172203 0.137259 
input -1.88175 -6.66328 PredOutput -0.0606793 -0.112426 
input 0.413126 0.0705092 PredOutput 0.0554114 0.0121834 
input -0.476563 -0.108233 PredOutput 0.0222442 -0.0231336 
input -0.61998 -0.238305 PredOutput 0.0157002 -0.0301293 
input -0.208666 -0.00908567 PredOutput 0.032407 -0.0122872 
input 0.135555 0.00249085 PredOutput 0.044107 0.000172702 
input 2.16581 10.1592 PredOutput 0.171019 0.135977 
input 1.09036 1.29632 PredOutput 0.098545 0.0580331 
input 1.09033 1.29621 PredOutput 0.0985429 0.0580307 
input 1.64239 4.43029 PredOutput 0.14003 0.10252 
input 1.07277 1.23458 PredOutput 0.0972028 0.0565997 
input 0.734273 0.395889 PredOutput 0.0731537 0.0309917 
input 1.45205 3.06159 PredOutput 0.126295 0.0877517 
input 0.658711 0.285814 PredOutput 0.0684608 0.0260145 
input -1.1918 -1.69281 PredOutput -0.0181327 -0.0664388 
input -0.753381 -0.427606 PredOutput 0.00881034 -0.0375044 
input 0.585518 0.200734 PredOutput 0.0642103 0.0215133 
input 0.0470183 0.000103944 PredOutput 0.0409921 -0.00314159 
input 0.20287 0.0083494 PredOutput 0.0466016 0.00282551 
input -0.125473 -0.00197537 PredOutput 0.0352132 -0.00929598 
input -0.215963 -0.0100725 PredOutput 0.0321561 -0.0125546 
input -0.288141 -0.0239231 PredOutput 0.0296143 -0.0152655 
input 0.433318 0.0813616 PredOutput 0.0563582 0.0131882 
input 0.772094 0.460268 PredOutput 0.0756112 0.0336009 
input -0.858195 -0.632059 PredOutput 0.00288187 -0.0438583 
