myFunc generated func Eliott activation: x/(1+fabsf(x))
nExamples 1000
input 1.49683 3.35362 PredOutput 0.10691 0.0663221 
input 1.31314 2.26428 PredOutput 0.104825 0.0638878 
input -0.72502 -0.38111 PredOutput 0.0920669 0.0489836 
input 0.237468 0.0133911 PredOutput 0.0968042 0.054531 
input -0.594948 -0.21059 PredOutput 0.0929863 0.0500628 
input 1.83126 6.14114 PredOutput 0.110869 0.070947 
input -1.57695 -3.9215 PredOutput 0.0830101 0.0382866 
input -1.1313 -1.44788 PredOutput 0.0883192 0.0445717 
input -1.51061 -3.44714 PredOutput 0.0838464 0.039279 
input -1.72124 -5.09947 PredOutput 0.0811721 0.0361029 
input 0.0569026 0.000184246 PredOutput 0.096086 0.0536921 
input -0.897461 -0.722847 PredOutput 0.0906369 0.0473027 
input -0.0282348 -2.2509e-05 PredOutput 0.0957575 0.0533082 
input 1.19397 1.7021 PredOutput 0.10355 0.0623999 
input -0.438994 -0.0846011 PredOutput 0.0939246 0.0511628 
input -0.649183 -0.273591 PredOutput 0.092619 0.0496319 
input -1.89308 -6.78429 PredOutput 0.0789884 0.0335038 
input -1.82135 -6.04204 PredOutput 0.0798961 0.0345848 
input 1.71702 5.06208 PredOutput 0.109513 0.0693622 
input -2.1119 -9.41931 PredOutput 0.0762886 0.0302838 
input -1.15157 -1.52711 PredOutput 0.0880996 0.0443125 
input 1.54405 3.68113 PredOutput 0.107462 0.0669671 
input -0.549089 -0.16555 PredOutput 0.0932798 0.050407 
input 0.737985 0.401922 PredOutput 0.0995312 0.0577116 
input -0.274395 -0.0206598 PredOutput 0.0947455 0.0521243 
input 0.97219 0.918869 PredOutput 0.101406 0.0598986 
input 0.615907 0.233639 PredOutput 0.0987196 0.056765 
input -1.46971 -3.17467 PredOutput 0.084357 0.0398847 
input 1.44848 3.03908 PredOutput 0.10635 0.0656685 
input 1.73084 5.18525 PredOutput 0.109677 0.0695543 
input 2.00846 8.10195 PredOutput 0.112938 0.0733653 
input 1.57818 3.93067 PredOutput 0.107864 0.0674366 
input -0.446879 -0.0892419 PredOutput 0.0938811 0.0511119 
input 1.80828 5.91282 PredOutput 0.110597 0.0706291 
input 1.98111 7.77546 PredOutput 0.112623 0.072997 
input 1.67667 4.71352 PredOutput 0.109033 0.0688013 
input 0.526225 0.145718 PredOutput 0.0981911 0.0561488 
input -0.847185 -0.608045 PredOutput 0.0910791 0.0478228 
input -1.37485 -2.59878 PredOutput 0.0855213 0.0412644 
input -0.367394 -0.0495904 PredOutput 0.0943017 0.0516046 
input -1.74605 -5.32314 PredOutput 0.0808555 0.0357263 
input 1.14609 1.50542 PredOutput 0.10306 0.061828 
input 0.811558 0.534514 PredOutput 0.100075 0.0583456 
input -0.57788 -0.192981 PredOutput 0.0930973 0.050193 
input 0.371749 0.0513749 PredOutput 0.0973981 0.0552241 
input 1.02145 1.06575 PredOutput 0.101853 0.0604202 
input -1.47795 -3.22835 PredOutput 0.0842545 0.0397631 
input 1.98046 7.76778 PredOutput 0.112615 0.0729882 
input -1.42467 -2.89165 PredOutput 0.0849137 0.0405446 
input 1.02368 1.07273 PredOutput 0.101874 0.0604443 
input 0.613617 0.231042 PredOutput 0.0987054 0.0567485 
input -1.60643 -4.14558 PredOutput 0.0826361 0.0378425 
input -1.89241 -6.77715 PredOutput 0.0789968 0.0335138 
input 1.40658 2.78287 PredOutput 0.10587 0.0651087 
input -1.97147 -7.66249 PredOutput 0.0780069 0.0323341 
input -1.30095 -2.20184 PredOutput 0.0864035 0.0423085 
input 2.19032 10.508 PredOutput 0.114977 0.0757504 
input -1.88175 -6.66328 PredOutput 0.0791312 0.0336739 
input 0.413126 0.0705092 PredOutput 0.0975974 0.0554565 
input -0.476563 -0.108233 PredOutput 0.0937137 0.0509157 
input -0.61998 -0.238305 PredOutput 0.0928196 0.0498672 
input -0.208666 -0.00908567 PredOutput 0.0950337 0.0524616 
input 0.135555 0.00249085 PredOutput 0.0963922 0.0540498 
input 2.16581 10.1592 PredOutput 0.114708 0.0754362 
input 1.09036 1.29632 PredOutput 0.102507 0.0611835 
input 1.09033 1.29621 PredOutput 0.102507 0.0611832 
